Category,Quantity,References,Value,Stock Code,Unit Cost
Capacitors,5,"C1,C3-C4,C14-C15",100n,Digikey PCC2236TR-ND,
Capacitors,2,"C2,C7",12p,Digikey PCC2236TR-ND,
Capacitors,18,"C5-C6,C8-C13,C16-C17,C20-C23,C26-C29",47n,Digikey PCC2236TR-ND,
Capacitors,2,C24-C25,4.7u,Digikey PCC2236TR-ND,
Resistors,1,R1,1M,Digikey 311-140KFDKR-ND,
Resistors,7,"R2-R4,R6-R7,R14,R33",10k,Digikey 311-140KFDKR-ND,
Resistors,1,R5,3.3k,Digikey 311-140KFDKR-ND,
Resistors,5,"R19,R22,R31-R32,R44",220,Digikey 311-140KFDKR-ND,
Resistors,1,R20,3k2,Digikey 311-140KFDKR-ND,
Resistors,1,R28,0,Digikey 311-140KFDKR-ND,
Integrated Circuits,1,U1,B3F1000,,
Integrated Circuits,1,U2,SPC5744PFK1AMLQ9,,
Transistors,1,Q4,MJD3055T4,Digikey MJD3055T4OSTR-ND,
Diodes,6,"D1-D2,D4-D5,D15-D16",LED-BLUE,,
Miscellaneous,2,"BT,FM",26630401RP2,NorComp 26630401RP2,
Miscellaneous,4,"CON1-CON2,MOPS_IN,PWM",26630601RP2,NorComp 26630601RP2,
Miscellaneous,3,"G_5V_3V3,POT_IN,SPEED",25630301RP2,NorComp 25630301RP2,
Miscellaneous,1,JTAG,26641401RP2,NorComp 26641401RP2,
Miscellaneous,2,L3-L4,330,,
Miscellaneous,1,X1,CRYSTAL,,
